snp	daf	PSV	candidate	enrichment
192050	0.383333	1	0	0
192747	0.291667	1	0	0
192910	0.300000	1	1	0
193359	0.291667	1	0	0
193581	0.300000	1	1	0
193832	0.616667	1	0	0
193889	0.300000	1	1	0
193973	0.616667	1	0	0
194162	0.616667	1	0	0
194449	0.383333	1	0	0
195462	0.616667	1	0	0
195474	0.383333	1	0	0
195609	0.616667	1	0	0
196305	0.300000	1	1	0
196565	0.383333	1	0	0
196869	0.325000	1	0	0
197878	0.300000	1	1	0
197991	0.283333	1	0	0
198665	0.383333	1	0	0
199456	0.383333	1	0	0
200184	0.383333	1	0	0
200978	0.616667	1	0	0
201068	0.383333	1	0	0
201214	0.616667	1	0	0
201688	0.383333	1	0	0
202484	0.616667	1	0	0
203118	0.325000	1	0	0
203468	0.616667	1	0	0
203566	0.300000	1	1	0
203588	0.616667	1	0	0
204713	0.616667	1	0	0
205315	0.325000	1	0	0
206515	0.200000	1	0	0
206536	0.300000	1	1	0
206779	0.208333	1	0	0
207185	0.300000	1	1	0
207281	0.616667	1	0	0
207311	0.300000	1	0	0
207435	0.300000	1	1	0
207773	0.616667	1	0	0
208380	0.616667	1	0	0
208697	0.616667	1	0	0
209160	0.616667	1	0	0
209869	0.291667	1	0	0
210261	0.300000	1	1	0
210296	0.616667	1	0	0
211322	0.283333	1	0	0
211534	0.325000	1	0	0
212028	0.283333	1	0	0
212196	0.383333	1	0	0
212335	0.383333	1	0	0
213033	0.616667	1	0	0
213287	0.383333	1	0	0
213825	0.383333	1	0	0
213825	0.300000	1	1	0
213864	0.291667	1	0	0
213880	0.325000	1	0	0
214210	0.300000	1	1	0
214484	0.300000	1	1	0
214830	0.616667	1	0	0
214867	0.291667	1	0	0
216574	0.325000	1	0	0
216821	0.616667	1	0	0
218847	0.291667	1	0	0
218931	0.383333	1	0	0
219207	0.616667	1	0	0
219263	0.616667	1	0	0
219509	0.383333	1	0	0
220742	0.616667	1	0	0
220765	0.383333	1	0	0
220833	0.291667	1	0	0
220889	0.325000	1	0	0
221162	0.300000	1	0	0
222195	0.300000	1	1	0
222485	0.325000	1	0	0
223246	0.283333	1	0	0
223400	0.325000	1	0	0
223934	0.616667	1	0	0
223941	0.291667	1	0	0
223975	0.616667	1	0	0
225195	0.383333	1	0	0
225732	0.300000	1	0	0
226417	0.383333	1	0	0
226700	0.291667	1	0	0
227197	0.300000	1	0	0
227818	0.616667	1	0	0
228817	0.291667	1	0	0
228969	0.616667	1	0	0
229646	0.291667	1	0	0
231026	0.383333	1	0	0
231292	0.233333	1	0	0
231352	0.616667	1	0	0
231498	0.383333	1	0	0
233023	0.383333	1	0	0
233066	0.616667	1	0	0
233220	0.300000	1	0	0
234546	0.616667	1	0	0
234711	0.383333	1	0	0
234779	0.383333	1	0	0
235888	0.283333	1	0	0
235968	0.616667	1	0	0
237034	0.291667	1	0	0
237080	0.283333	1	0	0
238291	0.383333	1	0	0
239365	0.300000	1	0	0
240914	0.325000	1	0	0
241033	0.291667	1	0	0
241043	0.616667	1	0	0
241386	0.383333	1	0	0
243931	0.383333	1	0	0
245508	0.383333	1	0	0
245840	0.300000	1	0	0
246195	0.300000	1	0	0
247551	0.383333	1	0	0
247619	0.383333	1	0	0
247739	0.616667	1	0	0
247741	0.383333	1	0	0
247816	0.616667	1	0	0
248464	0.616667	1	0	0
248996	0.616667	1	0	0
249026	0.616667	1	0	0
249197	0.283333	1	0	0
249593	0.383333	1	0	0
249695	0.283333	1	0	0
250050	0.383333	1	0	0
250051	0.325000	1	0	0
250191	0.616667	1	0	0
250219	0.291667	1	0	0
250243	0.616667	1	0	0
251401	0.383333	1	0	0
251467	0.616667	1	0	0
251944	0.300000	1	0	0
252595	0.300000	1	0	0
252997	0.300000	1	0	0
253616	0.291667	1	0	0
253718	0.616667	1	0	0
253979	0.383333	1	0	0
254418	0.291667	1	0	0
255028	0.383333	1	0	0
255082	0.291667	1	0	0
255367	0.383333	1	0	0
255378	0.616667	1	0	0
256142	0.616667	1	0	0
256143	0.616667	1	0	0
256465	0.300000	1	0	0
256766	0.616667	1	0	0
257930	0.383333	1	0	0
258226	0.383333	1	0	0
258614	0.291667	1	0	0
259246	0.608333	1	0	0
259343	0.608333	1	0	0
259400	0.291667	1	0	0
259659	0.225000	1	0	0
259813	0.308333	1	0	0
260251	0.316667	1	0	0
260520	0.283333	1	0	0
260617	0.608333	1	0	0
260859	0.608333	1	0	0
260934	0.291667	1	0	0
261116	0.608333	1	0	0
261195	0.608333	1	0	0
261302	0.391667	1	0	0
261869	0.608333	1	0	0
262023	0.391667	1	0	0
262893	0.608333	1	0	0
263108	0.308333	1	0	0
263197	0.291667	1	0	0
263965	0.291667	1	0	0
264059	0.375000	1	0	0
264385	0.291667	1	0	0
264535	0.291667	1	0	0
264712	0.625000	1	0	0
265414	0.700000	1	0	0
266004	0.300000	1	0	0
266372	0.316667	1	0	0
266448	0.300000	1	0	0
266591	0.300000	1	0	0
267207	0.308333	1	0	0
267389	0.300000	1	0	0
267912	0.300000	1	0	0
267940	0.300000	1	0	0
268084	0.300000	1	0	0
268642	0.700000	1	0	0
268978	0.700000	1	0	0
269384	0.300000	1	0	0
269603	0.300000	1	0	0
269722	0.300000	1	0	0
269899	0.300000	1	0	0
270156	0.700000	1	0	0
270786	0.300000	1	0	0
270800	0.700000	1	0	0
271330	0.700000	1	0	0
271447	0.700000	1	0	0
272143	0.300000	1	0	0
273138	0.700000	1	0	0
276108	0.300000	1	0	0
277238	0.700000	1	0	0
277551	0.300000	1	0	0
277907	0.700000	1	0	0
277984	0.308333	1	0	0
278008	0.308333	1	0	0
278178	0.233333	1	0	0
278345	0.616667	1	0	0
279173	0.700000	1	0	0
282345	0.300000	1	0	0
282429	0.700000	1	0	0
283385	0.700000	1	0	0
283671	0.300000	1	0	0
283951	0.700000	1	0	0
284363	0.700000	1	0	0
285119	0.300000	1	0	0
285226	0.300000	1	0	0
285461	0.300000	1	0	0
285761	0.300000	1	1	0
285902	0.608333	1	0	0
286121	0.300000	1	1	0
286853	0.300000	1	1	0
287093	0.391667	1	0	0
288441	0.583333	1	0	0
289658	0.325000	1	1	0
290489	0.466667	1	0	0
290685	0.466667	1	0	0
290889	0.525000	1	0	0
291080	0.475000	1	0	0
291322	0.475000	1	0	0
291459	0.541667	1	0	0
291805	0.541667	1	0	0
292538	0.516667	1	0	0
292919	0.325000	1	0	0
293305	0.283333	1	0	0
293396	0.308333	1	0	0
294680	0.516667	1	0	0
294915	0.516667	1	0	0
295421	0.208333	1	0	0
296326	0.583333	1	0	0
297939	0.283333	1	0	0
298727	0.258333	1	1	0
298930	0.675000	1	0	0
299428	0.325000	1	0	0
299509	0.250000	1	0	0
300054	0.325000	1	0	0
300963	0.325000	1	0	0
301231	0.266667	1	0	0
303130	0.233333	1	0	0
303382	0.766667	1	0	0
304861	0.766667	1	0	0
304998	0.233333	1	0	0
305433	0.266667	1	0	0
310230	0.266667	1	0	0
310696	0.266667	1	0	0
311674	0.550000	1	0	0
311813	0.266667	1	0	0
311873	0.300000	1	0	0
314018	0.300000	1	0	0
314157	0.550000	1	0	0
314849	0.816667	1	0	0
314976	0.258333	1	1	0
315963	0.250000	1	0	0
316016	0.266667	1	1	0
316562	0.250000	1	0	0
316583	0.250000	1	0	0
316754	0.550000	1	0	0
316846	0.275000	1	1	0
317435	0.825000	1	0	0
317811	0.308333	1	0	0
318299	0.241667	1	0	0
318376	0.608333	1	0	0
318972	0.250000	1	0	0
320164	0.250000	1	0	0
320689	0.883333	1	0	0
320979	0.608333	1	0	0
321424	0.283333	1	0	0
321869	0.900000	1	0	0
322304	0.900000	1	0	0
323893	0.275000	1	0	0
324510	0.216667	1	0	0
325073	0.216667	1	0	0
325681	0.300000	1	0	0
326144	0.541667	1	0	0
326715	0.233333	1	0	0
327032	0.225000	1	0	0
327057	0.233333	1	0	0
327206	0.283333	1	0	0
329107	0.550000	1	0	0
329375	0.283333	1	0	0
329981	0.375000	1	0	0
332519	0.283333	1	0	0
333604	0.625000	1	0	0
333974	0.375000	1	0	0
334565	0.358333	1	0	0
334733	0.625000	1	0	0
337600	0.533333	1	0	0
337668	0.266667	1	0	0
338626	0.533333	1	0	0
339820	0.466667	1	0	0
339880	0.466667	1	0	0
340000	0.466667	1	0	0
340434	0.466667	1	0	0
340850	0.466667	1	0	0
341132	0.466667	1	0	0
341171	0.533333	1	0	0
341849	0.466667	1	0	0
342216	0.458333	1	0	0
343471	0.266667	1	0	0
345604	0.558333	1	0	0
346223	0.258333	1	0	0
346233	0.458333	1	0	0
346911	0.558333	1	0	0
347533	0.266667	1	0	0
349206	0.600000	1	0	0
349429	0.525000	1	0	0
354824	0.341667	1	0	0
358202	0.525000	1	0	0
360453	0.266667	1	0	0
360665	0.341667	1	0	0
361338	0.866667	1	0	0
363548	0.858333	1	0	0
363803	0.858333	1	0	0
364052	0.266667	1	0	0
365604	0.266667	1	0	0
365629	0.508333	1	0	0
366379	0.508333	1	0	0
366469	0.508333	1	0	0
367132	0.508333	1	0	0
367904	0.508333	1	0	0
369443	0.266667	1	0	0
370591	0.508333	1	0	0
370987	0.508333	1	0	0
372541	0.491667	1	0	0
372558	0.250000	1	1	0
373160	0.508333	1	0	0
373626	0.491667	1	0	0
374212	0.491667	1	0	0
374259	0.508333	1	0	0
374790	0.225000	1	0	0
375281	0.266667	1	0	0
378901	0.508333	1	0	0
378963	0.508333	1	0	0
379144	0.325000	1	0	0
380260	0.325000	1	0	0
380262	0.508333	1	0	0
381054	0.508333	1	0	0
381319	0.491667	1	0	0
381489	0.491667	1	0	0
381489	0.508333	1	0	0
382223	0.266667	1	0	0
383613	0.508333	1	0	0
383966	0.225000	1	0	0
384262	0.491667	1	0	0
384525	0.491667	1	0	0
386422	0.508333	1	0	0
387395	0.508333	1	0	0
387473	0.491667	1	0	0
388369	0.266667	1	0	0
389226	0.266667	1	0	0
390244	0.508333	1	0	0
390307	0.508333	1	0	0
391057	0.350000	1	0	0
391776	0.350000	1	0	0
392534	0.491667	1	0	0
394717	0.508333	1	0	0
396055	0.491667	1	0	0
396784	0.325000	1	0	0
396846	0.508333	1	0	0
397167	0.508333	1	0	0
398087	0.383333	1	0	0
399045	0.508333	1	0	0
401672	0.250000	1	0	0
402970	0.491667	1	0	0
403476	0.483333	1	0	0
403626	0.258333	1	0	0
403988	0.233333	1	0	0
405617	0.258333	1	0	0
406229	0.483333	1	0	0
406487	0.516667	1	0	0
406831	0.483333	1	0	0
406949	0.483333	1	0	0
407486	0.516667	1	0	0
407531	0.516667	1	0	0
408025	0.225000	1	0	0
408148	0.483333	1	0	0
409198	0.333333	1	0	0
409303	0.258333	1	0	0
409747	0.341667	1	0	0
410520	0.233333	1	0	0
410628	0.483333	1	0	0
411219	0.516667	1	0	0
412806	0.258333	1	0	0
412878	0.258333	1	0	0
413353	0.516667	1	0	0
413537	0.483333	1	0	0
413656	0.258333	1	0	0
414103	0.258333	1	0	0
414657	0.258333	1	0	0
414972	0.258333	1	0	0
415203	0.516667	1	0	0
415364	0.341667	1	0	0
415572	0.258333	1	1	0
415781	0.516667	1	0	0
416329	0.516667	1	0	0
417281	0.366667	1	0	0
417405	0.525000	1	0	0
417683	0.333333	1	0	0
418206	0.250000	1	1	0
418816	0.475000	1	0	0
418996	0.350000	1	0	0
419504	0.475000	1	0	0
419806	0.366667	1	0	0
419848	0.333333	1	0	0
420168	0.475000	1	0	0
421995	0.475000	1	0	0
422508	0.525000	1	0	0
422649	0.250000	1	1	0
422823	0.525000	1	0	0
423014	0.333333	1	0	0
423416	0.475000	1	0	0
423823	0.350000	1	0	0
423824	0.350000	1	0	0
423884	0.366667	1	0	0
424417	0.475000	1	0	0
424972	0.250000	1	0	0
425358	0.475000	1	0	0
427450	0.525000	1	0	0
427640	0.475000	1	0	0
430649	0.525000	1	0	0
430751	0.333333	1	0	0
431856	0.525000	1	0	0
432778	0.475000	1	0	0
433054	0.475000	1	0	0
433949	0.250000	1	1	0
434434	0.250000	1	1	0
435332	0.475000	1	0	0
437231	0.258333	1	0	0
437513	0.458333	1	0	0
437904	0.541667	1	0	0
438189	0.483333	1	0	0
438230	0.316667	1	0	0
438280	0.375000	1	0	0
439677	0.516667	1	0	0
439680	0.233333	1	0	0
441020	0.516667	1	0	0
443105	0.483333	1	0	0
443157	0.308333	1	0	0
443801	0.483333	1	0	0
443998	0.516667	1	0	0
444355	0.516667	1	0	0
444561	0.325000	1	0	0
444948	0.375000	1	0	0
445578	0.516667	1	0	0
445662	0.516667	1	0	0
446514	0.516667	1	0	0
446681	0.216667	1	1	0
447230	0.516667	1	0	0
447944	0.233333	1	0	0
448594	0.483333	1	0	0
448630	0.516667	1	0	0
450197	0.483333	1	0	0
451415	0.375000	1	0	0
452067	0.325000	1	0	0
452177	0.233333	1	0	0
452784	0.491667	1	0	0
452952	0.491667	1	0	0
452963	0.508333	1	0	0
453065	0.508333	1	0	0
453225	0.566667	1	0	0
453444	0.433333	1	0	0
453767	0.491667	1	0	0
453802	0.233333	1	0	0
454200	0.500000	1	0	0
454695	0.233333	1	0	0
454786	0.500000	1	0	0
455384	0.500000	1	0	0
455886	0.500000	1	0	0
457039	0.325000	1	0	0
457151	0.500000	1	0	0
457491	0.241667	1	0	0
457511	0.500000	1	0	0
458356	0.325000	1	0	0
460493	0.433333	1	0	0
460942	0.241667	1	0	0
460971	0.241667	1	0	0
462104	0.241667	1	0	0
462606	0.500000	1	0	0
463950	0.350000	1	0	0
464002	0.241667	1	0	0
464865	0.241667	1	0	0
465343	0.241667	1	0	0
465538	0.650000	1	0	0
465676	0.300000	1	0	0
465881	0.500000	1	0	0
465980	0.500000	1	0	0
466075	0.350000	1	0	0
466407	0.500000	1	0	0
467213	0.200000	1	0	0
468965	0.241667	1	0	0
469616	0.350000	1	0	0
469795	0.650000	1	0	0
470480	0.500000	1	0	0
470855	0.500000	1	0	0
470856	0.500000	1	0	0
471726	0.500000	1	0	0
472546	0.241667	1	0	0
473063	0.500000	1	0	0
473972	0.500000	1	0	0
473995	0.566667	1	0	0
474134	0.433333	1	0	0
474891	0.433333	1	0	0
475551	0.433333	1	0	0
478057	0.358333	1	0	0
478404	0.300000	1	0	0
478721	0.575000	1	0	0
479435	0.575000	1	0	0
479517	0.241667	1	0	0
479913	0.575000	1	0	0
480710	0.575000	1	0	0
481061	0.358333	1	0	0
481249	0.225000	1	0	0
482054	0.575000	1	0	0
483133	0.300000	1	0	0
483530	0.358333	1	0	0
483573	0.275000	1	0	0
484521	0.241667	1	0	0
484755	0.358333	1	0	0
485734	0.641667	1	0	0
486267	0.641667	1	0	0
486448	0.325000	1	0	0
487007	0.641667	1	0	0
490361	0.241667	1	0	0
491063	0.225000	1	0	0
492086	0.641667	1	0	0
492203	0.358333	1	0	0
492432	0.641667	1	0	0
493621	0.241667	1	0	0
493675	0.358333	1	0	0
493830	0.641667	1	0	0
493973	0.241667	1	0	0
494167	0.641667	1	0	0
495211	0.325000	1	0	0
496255	0.316667	1	0	0
496308	0.241667	1	0	0
498260	0.566667	1	0	0
498782	0.241667	1	1	0
498920	0.491667	1	0	0
499587	0.325000	1	0	0
499602	0.241667	1	1	0
500079	0.491667	1	0	0
500928	0.216667	1	0	0
501215	0.216667	1	0	0
501878	0.491667	1	0	0
501944	0.491667	1	0	0
502077	0.491667	1	0	0
502313	0.325000	1	0	0
502846	0.275000	1	0	0
503838	0.491667	1	0	0
504565	0.491667	1	0	0
504687	0.266667	1	1	0
505057	0.491667	1	0	0
505473	0.325000	1	0	0
505505	0.491667	1	0	0
505628	0.325000	1	0	0
505994	0.325000	1	0	0
507372	0.275000	1	0	0
508235	0.325000	1	0	0
509651	0.325000	1	0	0
509826	0.491667	1	0	0
511003	0.325000	1	0	0
511348	0.275000	1	0	0
511442	0.325000	1	0	0
511715	0.216667	1	0	0
512359	0.325000	1	0	0
512376	0.275000	1	0	0
512462	0.216667	1	0	0
512655	0.325000	1	0	0
512850	0.491667	1	0	0
512860	0.266667	1	0	0
513063	0.325000	1	0	0
513387	0.325000	1	0	0
513741	0.491667	1	0	0
513786	0.325000	1	0	0
515199	0.491667	1	0	0
515309	0.491667	1	0	0
515362	0.325000	1	0	0
515551	0.675000	1	0	0
515826	0.325000	1	0	0
515916	0.491667	1	0	0
516630	0.266667	1	0	0
516661	0.325000	1	0	0
517529	0.325000	1	0	0
518329	0.325000	1	0	0
518533	0.325000	1	0	0
519268	0.491667	1	0	0
520148	0.325000	1	0	0
520577	0.491667	1	0	0
521674	0.325000	1	0	0
521904	0.491667	1	0	0
523110	0.325000	1	0	0
523283	0.325000	1	0	0
523286	0.325000	1	0	0
523447	0.491667	1	0	0
524123	0.350000	1	0	0
524352	0.200000	1	0	0
525640	0.541667	1	0	0
525856	0.350000	1	0	0
526405	0.350000	1	0	0
526724	0.241667	1	1	0
526977	0.458333	1	0	0
527098	0.458333	1	0	0
527874	0.458333	1	0	0
529517	0.266667	1	0	0
529528	0.200000	1	0	0
531148	0.325000	1	0	0
531291	0.200000	1	0	0
531337	0.325000	1	0	0
533028	0.325000	1	0	0
533670	0.291667	1	0	0
533707	0.800000	1	0	0
534148	0.508333	1	0	0
534172	0.266667	1	1	0
534487	0.800000	1	0	0
534649	0.291667	1	0	0
534941	0.800000	1	0	0
534971	0.200000	1	0	0
535096	0.200000	1	0	0
535585	0.291667	1	0	0
535588	0.291667	1	0	0
535619	0.800000	1	0	0
535800	0.800000	1	0	0
535806	0.800000	1	0	0
535859	0.800000	1	0	0
535867	0.200000	1	0	0
536600	0.200000	1	0	0
536714	0.291667	1	0	0
537387	0.325000	1	0	0
537410	0.291667	1	0	0
537531	0.200000	1	0	0
538054	0.383333	1	0	0
538487	0.616667	1	0	0
539143	0.291667	1	0	0
539516	0.291667	1	0	0
540264	0.208333	1	0	0
541368	0.291667	1	0	0
541511	0.383333	1	0	0
541631	0.266667	1	0	0
542090	0.325000	1	0	0
542145	0.266667	1	0	0
542204	0.383333	1	0	0
542640	0.291667	1	0	0
542759	0.383333	1	0	0
542875	0.383333	1	0	0
544327	0.325000	1	0	0
544520	0.325000	1	0	0
545008	0.325000	1	0	0
545376	0.266667	1	0	0
545701	0.266667	1	0	0
545811	0.266667	1	1	0
546352	0.383333	1	0	0
547801	0.291667	1	0	0
548003	0.383333	1	0	0
548068	0.325000	1	1	0
548255	0.266667	1	1	0
548340	0.291667	1	0	0
